,ID,compositionality_type,question,answers,topic_ids,answer_ids
1669,WebQTrn-1793_4cf55de92667f2db566bd1fd11e01a16,conjunction,What club did both Santi Cazorla and Thierry Henry play for?,"[{'aliases': ['Royal Arsenal', 'The Gunners', 'Woolwich Arsenal', 'Arsenal Gunners', 'Dial Square', 'Arsenal', 'Arsenal Football Club', 'Arsenal FC'], 'answer': 'Arsenal F.C.', 'answer_id': 'm.0xbm'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0xbm']
1676,WebQTrn-686_93be2f3dbb3fd05bdc8711bd95e5c7b9,conjunction,What movie starred Rihanna and had John Brace as its film casting director?,"[{'aliases': [], 'answer': 'Battleship', 'answer_id': 'm.0bh8tgs'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0bh8tgs']
1117,WebQTrn-2190_999983939784639f7541620dcfbe5e54,conjunction,Where does Sam Shepard live whose country calling code is 1?,"[{'aliases': [], 'answer': 'Guam', 'answer_id': 'm.034tl'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/034tl']
442,WebQTrn-836_9a69191735636d5c80ee0a6dd1153086,conjunction,What major religion in the UK has a place of worship named Yanina Synagogue?,"[{'aliases': ['Jewish'], 'answer': 'Judaism', 'answer_id': 'm.03_gx'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/03_gx']
1448,WebQTrn-2625_17dce559f069bbd76f045192423e1ce0,conjunction,What language is spoken both by Native American Indians and denizens of the fictional universe Buffyverse?,"[{'aliases': ['Sekgoa', 'Anglit', 'English language', 'English'], 'answer': 'English Language', 'answer_id': 'm.02h40lc'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/02h40lc']
708,WebQTrn-470_edb8e611b4e0e2819b94cdf92374370e,conjunction,What Jonas Brother played the character Shane Gray?,"[{'aliases': ['The High Flier', 'Jonas Brothers', 'Joseph Jonas', 'the Jonas Brothers', 'Joe', 'JJ', 'Joseph Adam Jonas', 'DJ Danger'], 'answer': 'Joe Jonas', 'answer_id': 'm.04cr6qv'}, {'aliases': ['The High Flier', 'Jonas Brothers', 'Joseph Jonas', 'the Jonas Brothers', 'Joe', 'JJ', 'Joseph Adam Jonas', 'DJ Danger'], 'answer': 'Joe Jonas', 'answer_id': 'm.04cr6qv'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/04cr6qv', '/m/04cr6qv']"
264,WebQTrn-2711_7bd6b37d01a372aa5af2a8d5ef53d827,conjunction,"What's the main religion in eastern Europe, where the main religious sacred site is in Jerusalem?","[{'aliases': ['Jewish'], 'answer': 'Judaism', 'answer_id': 'm.03_gx'}, {'aliases': [], 'answer': 'Islam', 'answer_id': 'm.0flw86'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/03_gx', '/m/0flw86']"
978,WebQTest-1382_0b10be04df39049e5122937dea8174e0,conjunction,Which nation has an alpha 3 code of CHL and borders Argentina?,"[{'aliases': ['Republic of Chile'], 'answer': 'Chile', 'answer_id': 'm.01p1v'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/01p1v']
1693,WebQTest-527_8bb131f101e71d906d4a6dd2dbed06f7,conjunction,which country with a nominal gdp per capita of 36000.0 borders slovakia?,"[{'aliases': ['Ostarrichi', 'Republic of Austria', 'Österreich', 'Oesterreich', 'Autriche'], 'answer': 'Austria', 'answer_id': 'm.0h7x'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0h7x']
1395,WebQTest-823_794a77c4295934af27944fe8af53b07e,conjunction,Which country borders Bolivia and has a GDP deflator change rate of -0.05?,"[{'aliases': ['The Argentine', 'Agrentina ', 'Argentine Republic'], 'answer': 'Argentina', 'answer_id': 'm.0jgd'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0jgd']
1468,WebQTrn-1657_65e7de970f6844e8520d7785799ec19e,conjunction,What Miley Cyrus movie that the music work was done by John Debney?,"[{'aliases': ['Hana Montana: filmas', 'Hannah Montana - The Movie', 'Hannah Montana - La película', 'Hanna Montana - La película', 'Hannah Montana: I tainia', 'Hannah Montana - Der Film', 'Hannah Montana: A film', 'Hannah Montana', 'Hannah Montana - filmen', 'Hannah Montana - Le film', 'Hannah Montana film', 'Hanna Montana - Bíómyndin', 'Hannah Montana - O Filme'], 'answer': 'Hannah Montana: The Movie', 'answer_id': 'm.02x3lt7'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/02x3lt7']
808,WebQTrn-1804_a73ff21ac29883f58299cd0c2816d5db,conjunction,Which nato country was the topic that the speaker Gregor Belkovsky talked about?,"[{'aliases': ['Republic of Bulgaria'], 'answer': 'Bulgaria', 'answer_id': 'm.015qh'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/015qh']
1298,WebQTrn-1625_e706039609465777e91555cd85cb9521,conjunction,"Which film featuring Alyson Stoner was edited by George Folsey, Jr.?","[{'aliases': [], 'answer': 'Cheaper by the Dozen', 'answer_id': 'm.02bqvs'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/02bqvs']
637,WebQTest-1508_cf1f2c9047282b2629738498032e0141,conjunction,What university with 221 postgraduates did Bill Clinton attend?,"[{'aliases': ['University College, Oxford, main campus', 'Univ.', 'The Master and Fellows of the College of the Great Hall of the University of Oxford'], 'answer': 'University College, Oxford', 'answer_id': 'm.0ymf1'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0ymf1']
1226,WebQTrn-1793_1f3f7417b06d43f14600e1091c60a934,conjunction,Which sports club did Santi Cazorla play for that was nominated for an award at the 2013 Laureus World Sports Awards Ceremony?,"[{'aliases': ['La Furia', 'Spain Mens National Football Team', 'Spain Mens Soccer Team', 'Spain Soccer Team', ""Spain Men's Football Team"", 'Spain national football', 'Spain Football Team', ""Spain Men's National Soccer Team"", 'Spain Mens National Soccer Team', 'Spain National Soccer Team', 'La Roja', 'Spain National Football Team', 'La Furia Roja', 'Spain Mens Football Team', ""Spain Men's Soccer Team"", ""Spain Men's National Football Team""], 'answer': 'Spain national football team', 'answer_id': 'm.02w64f'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/02w64f']
1645,WebQTrn-1563_cab1228be4e8c16ee35a67b7ac63b264,conjunction,"In which timezone is the state of Texas located, more specifically Strathmore Airport and its environs?","[{'aliases': ['Mountain Standard Time Zone', 'Mountain Time'], 'answer': 'Mountain Time Zone', 'answer_id': 'm.02hczc'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/02hczc']
2608,WebQTrn-1784_8bb131f101e71d906d4a6dd2dbed06f7,conjunction,What country with nominal GDP per capita of 36000.0 speaks German?,"[{'aliases': ['Ostarrichi', 'Republic of Austria', 'Österreich', 'Oesterreich', 'Autriche'], 'answer': 'Austria', 'answer_id': 'm.0h7x'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0h7x']
329,WebQTest-1976_1e97bdc467a8d88bce77f64fd9a9a595,conjunction,What team that won the 2014 Turkish Super Cup championship did Drogba play for?,"[{'aliases': ['Galatasaray A.Ş.', 'Cimbom', 'Galatasaray SK', 'Avrupa Fatihi', 'Galatasaray Anonim Şirketi', 'Aslan', 'Gala', 'Sarı Kırmızılılar', 'Galata-Serai Football Club', 'Galatasaray Spor Kulübü', 'Galatasaray'], 'answer': 'Galatasaray S.K.', 'answer_id': 'm.06zpgb2'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06zpgb2']
852,WebQTest-1792_e82cd4861293f42a4365f1778ca09dc2,conjunction,"Where is midlothian Scotland, and the government with the official symbol of a floral emblem?","[{'aliases': ['Scotia'], 'answer': 'Scotland', 'answer_id': 'm.06q1r'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06q1r']
2689,WebQTrn-909_08ce6e8994e68a81d190b47a5192b88f,conjunction,Where under the jurisdiction of the Mayor of Minneapolis did Bob Dylan live?,"[{'aliases': ['Minneapolis, Minnesota', 'Hennepin County / Minneapolis city'], 'answer': 'Minneapolis', 'answer_id': 'm.0fpzwf'}, {'aliases': ['Minneapolis, Minnesota', 'Hennepin County / Minneapolis city'], 'answer': 'Minneapolis', 'answer_id': 'm.0fpzwf'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']","['/m/0fpzwf', '/m/0fpzwf']"
813,WebQTrn-1784_c3e8ad52fe91586a25628b12feb00f7d,conjunction,"Of the countries in the world that speak German, which has a GDP deflator change of rate -5.06?","[{'aliases': ['Principality of Liechtenstein', 'Fürstentum Liechtenstein'], 'answer': 'Liechtenstein', 'answer_id': 'm.04j53'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/04j53']
1948,WebQTrn-3012_36a80dbb669ce56da38988bfce8b4825,conjunction,What country uses power plugs type bs 546 and borders China?,"[{'aliases': ['Afganistan', 'Islamic Republic of Afghanistan'], 'answer': 'Afghanistan', 'answer_id': 'm.0jdd'}]","['/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0jdd']
1859,WebQTrn-2674_4b484913c1c3ccd2417bc8a04d8e82a2,conjunction,Where is the neighborhood Eau Claire located and is where USC is from?,"[{'aliases': ['Richland County / Columbia city', 'Columbia, South Carolina', 'Columbia, SC'], 'answer': 'Columbia', 'answer_id': 'm.0fv_t'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0fv_t']
69,WebQTest-823_21ca1d6edc5a012358fa509ec10b19d4,conjunction,"Also the location that appointed Ollanta Humala to govermental position, what country does Bolivia border?","[{'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}, {'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}, {'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}, {'aliases': [], 'answer': 'Peru', 'answer_id': 'm.016wzw'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']","['/m/016wzw', '/m/016wzw', '/m/016wzw', '/m/016wzw']"
404,WebQTrn-2631_0652d8b1cb95848c9630860c92e38e6f,conjunction,What country is a part of the mediterranian region and is a part of the Western European Time zone?,"[{'aliases': ['Kingdom of Spain', 'España', 'Furija'], 'answer': 'Spain', 'answer_id': 'm.06mkj'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06mkj']
602,WebQTrn-1809_bdcd98c0611466c328e29d4234cc8d3d,conjunction,Which state whose capital city is Nashville is where the Battle of Shiloh occurred?,"[{'aliases': ['TN', 'Tenn', 'Volunteer State'], 'answer': 'Tennessee', 'answer_id': 'm.07h34'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/07h34']
2137,WebQTrn-3358_7ed97256950b8537daf02bead479e64a,conjunction,Who wrote Ivanhoe and influenced Whitman's poetry?,"[{'aliases': ['Jedediah Cleishbotham', 'Malachi Malagrowther', 'Scott, Sir Walter'], 'answer': 'Walter Scott', 'answer_id': 'm.06y8v'}]","['/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06y8v']
3310,WebQTrn-3437_d5618d86b16ee7b75c09ee18d75a85f4,conjunction,What country with an ISO numeric of 048 is an Arabic-speaking nation?,"[{'aliases': ['Kingdom of Bahrain'], 'answer': 'Bahrain', 'answer_id': 'm.0161c'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0161c']
1107,WebQTest-1382_140de5b9cf3cecdb019dcdc20300579f,conjunction,What country bordering Argentina exports to Sierra Leone?,"[{'aliases': ['Brazilian ', 'República Federativa do Brasil', 'Brasil', 'Federative Republic of Brazil'], 'answer': 'Brazil', 'answer_id': 'm.015fr'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/015fr']
1059,WebQTest-472_8b60d7264558869b5cef5f60dbc41a87,conjunction,What team that plays in the Santiago Bernabeu Stadium did Ronaldo play for in 2003?,"[{'aliases': ['Real Madrid C.F. in European football', 'Sociedad Madrid FC', 'Los Merengues', 'Los Vikingos', 'Royal Madrid Football Club', 'Real Madrid', 'Madrid Football Club', 'Real Madrid Club de Fútbol', 'Los Blancos'], 'answer': 'Real Madrid C.F.', 'answer_id': 'm.06l22'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/06l22']
1970,WebQTrn-909_a2434eacd8efacb093fb997ab8d6e89e,conjunction,What's the name of the location with GNIS feature ID 1660981 in which Bob Dylan lives?,"[{'aliases': ['Los Angeles County / Malibu city', 'Malibu, California', 'Malibu Vista, California', 'Malibu Vista'], 'answer': 'Malibu', 'answer_id': 'm.0r0m6'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0r0m6']
3422,WebQTrn-1754_0a0e77d89d62b50949b3a35cad3fb4ee,conjunction,What caused Andy Warhol to create most of his work and music for Dreams That Money Can Buy?,"[{'aliases': ['John Milton Cage', 'John Milton Cage Jr.'], 'answer': 'John Cage', 'answer_id': 'm.0hgqq'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0hgqq']
164,WebQTest-1508_471b83eade9707a4dba68e201bf29d73,conjunction,Greenwich Mean Time Zone is the time zone of this university where Bill Clnton studied?,"[{'aliases': ['Universitas Oxoniensis', 'Oxford University'], 'answer': 'University of Oxford', 'answer_id': 'm.07tgn'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/03m5y9p', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/07tgn']
1621,WebQTrn-1657_df6da3b51d45bc9e923a9c47728f4267,conjunction,Which movie edited by Chris Lebenzon did Miley Cyrus have a role in?,"[{'aliases': ['Krupna riba', 'Suur kala', 'Nagy hal', 'Velká ryba', 'Big Fish - Der Zauber, der ein Leben zur Legende macht', 'El gran pez', 'Big fish: La légende du gros poisson'], 'answer': 'Big Fish', 'answer_id': 'm.027pfg'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0k20s', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/027pfg']
3001,WebQTest-527_6a539428bbc2156f7dfa5599bc76b554,conjunction,What country has been run by a religious organization since 1995-07 and borders the country of Slovakia?,"[{'aliases': ['Ukraine Region'], 'answer': 'Ukraine', 'answer_id': 'm.07t21'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/07t21']
618,WebQTest-937_872253e47dd6ddaa213ff31eeda8783b,conjunction,Where do people speak Arabic in the Eastern Time Zone?,"[{'aliases': ['Dominion of Canada', 'Canuckistan'], 'answer': 'Canada', 'answer_id': 'm.0d060g'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0k20s', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0d060g']
2396,WebQTrn-2190_5069841743291a3625b51f8191da770d,conjunction,Where does Sam Shepard live where the fictional Juliet Van Heuson also lived?,"[{'aliases': ['New York County'], 'answer': 'Manhattan', 'answer_id': 'm.0cc56'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0cc56']
1772,WebQTrn-2711_55446dcd04c73520c9a5973c1df50aaa,conjunction,Which religion with a founding figure named Sarah is the main religion in Eastern Europe?,"[{'aliases': ['Jewish'], 'answer': 'Judaism', 'answer_id': 'm.03_gx'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/03_gx']
551,WebQTrn-1804_dfb6c97ac9bf2f0ac07f27dd80f9edc2,conjunction,What NATO country contains the airport that serves Nijmegen?,"[{'aliases': ['Federal Republic of Germany', 'Bundesrepublik Deutschland', 'BRD', 'Deutschland'], 'answer': 'Germany', 'answer_id': 'm.0345h'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/0345h']
580,WebQTest-701_d99e2c7456806016b31d24a2fab13faf,conjunction,Which football organization that claimed victory in Super Bowl VII did Reggie Bush play for in 2011?,"[{'aliases': ['The Phins', 'The Fish', 'The Fins'], 'answer': 'Miami Dolphins', 'answer_id': 'm.04vn5'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0k20s', '/m/0g84t93', '/m/0g84t93']",['/m/04vn5']
1062,WebQTest-334_25b93a193187b9239e73072d745ece7b,conjunction,Who was a Pentecostal who John Kennedy had an affair with?,"[{'aliases': ['Marylin Monroe', 'Marilyn Monroe Miller', 'The Blonde Bombshell', 'Norma Jeane DiMaggio', 'MM', 'Norma Jeane Baker', 'Norma Jeane Dougherty', 'Merilin Monro', 'Marliyn Monroe', 'Jean Norman', 'Norma Jeane Mortenson', 'Norma Jeane Mortensen'], 'answer': 'Marilyn Monroe', 'answer_id': 'm.04wqr'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93']",['/m/04wqr']
1708,WebQTrn-2259_cba082b234c28b8473efa91eafdf177d,conjunction,"In 2012, which company owned by Rupert Murdoch was the parent company of 21st Century Fox?","[{'aliases': ['News Corp'], 'answer': 'News Corporation', 'answer_id': 'm.0sxdg'}]","['/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/03m5y9p', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/0sxdg']
2792,WebQTrn-470_2ed273e1ef71275dba971b59c747ff69,conjunction,Which Jonas brother had a romantic relationship that ended in October of 2008?,"[{'aliases': ['The High Flier', 'Jonas Brothers', 'Joseph Jonas', 'the Jonas Brothers', 'Joe', 'JJ', 'Joseph Adam Jonas', 'DJ Danger'], 'answer': 'Joe Jonas', 'answer_id': 'm.04cr6qv'}]","['/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93', '/m/02lw5z', '/m/0g84t93', '/m/0g84t93', '/m/0g84t93']",['/m/04cr6qv']
